tempature,pressure,humidity,cloud,wind_spped,traffic,trip_time
275.78,1008,93,97,3.6,20,0:40:30
275.77,1008,93,90,3.6,19,0:43:23
275.77,1008,93,90,3.6,29,0:45:00
275.78,1008,100,90,4.6,20,0:45:30
275.76,1008,100,90,2.6,25,0:44:51
275.77,1009,93,90,3.6,20,0:45:00
275.78,1009,100,90,2.6,23,0:45:09
275.78,1009,100,90,2.6,23,0:44:51
275.62,1009,100,90,3.1,22,0:44:59
275.62,1009,100,100,2.1,21,0:45:09
275.78,1009,100,100,2.6,18,0:45:00
275.78,1009,93,100,1.5,18,0:45:48
275.78,1009,93,100,2.6,26,0:46:20
276.18,1010,93,100,2.6,21,0:44:56
276.18,1010,93,100,2.1,20,0:44:04
276.35,1010,93,100,2.1,24,0:52:13
