date,tempature,pressure,humidity,cloud,wind_spped
2021-09-01 00:00:00,290.42,1024,78,42,4
2021-09-01 01:00:00,290.46,1024,78,100,5.22
2021-09-01 02:00:00,288.76,1024,74,78,5
2021-09-01 03:00:00,290,1024,74,80,5.09
2021-09-01 04:00:00,288.2,1024,74,83,4.89
2021-09-01 05:00:00,289.54,1024,72,86,4.36
2021-09-01 06:00:00,287.64,1025,70,84,4.65
2021-09-01 07:00:00,285.29,1025,68,12,4.4
2021-09-01 08:00:00,288.3,1025,66,15,3.96
2021-09-01 09:00:00,292.29,1025,64,15,3.68
2021-09-01 10:00:00,294.25,1025,63,18,3.82
2021-09-01 11:00:00,295.29,1025,63,21,4.42
2021-09-01 12:00:00,295.23,1024,64,29,5.04
2021-09-01 13:00:00,294.29,1024,62,49,3.7
2021-09-01 14:00:00,291.53,1024,63,70,2.7
2021-09-01 15:00:00,290.63,1023,64,77,2.45
2021-09-01 16:00:00,292.09,1023,65,60,2.49
2021-09-01 17:00:00,291.08,1023,66,50,2.78
2021-09-01 18:00:00,291.53,1023,66,54,2.83
2021-09-01 19:00:00,286.63,1023,60,92,3.07
2021-09-01 20:00:00,289.87,1023,60,92,3.34
2021-09-01 21:00:00,290.57,1024,61,66,2.79
2021-09-01 22:00:00,290.44,1024,67,63,0.52
2021-09-01 23:00:00,286.08,1025,64,66,1.92
2021-09-02 00:00:00,289.31,1025,63,57,3.39
2021-09-02 00:00:00,289.31,1025,63,57,3.39
2021-09-02 01:00:00,290.12,1025,73,45,3.48
2021-09-02 02:00:00,288.76,1025,75,29,3.92
2021-09-02 03:00:00,289.82,1025,75,32,3.76
2021-09-02 04:00:00,287.64,1025,74,45,4.07
2021-09-02 05:00:00,289.63,1025,74,39,3.81
2021-09-02 06:00:00,288.2,1025,74,8,4.17
2021-09-02 07:00:00,286.29,1026,74,0,4.31
2021-09-02 08:00:00,288.32,1026,73,0,4.36
2021-09-02 09:00:00,290.29,1026,72,0,5.08
2021-09-02 10:00:00,292.27,1025,70,0,5.44
2021-09-02 11:00:00,292.29,1025,71,0,5.02
2021-09-02 12:00:00,292.28,1024,75,0,4.47
2021-09-02 13:00:00,290.29,1023,73,0,6.47
2021-09-02 14:00:00,290.98,1022,76,0,7.34
2021-09-02 15:00:00,288.86,1022,76,2,7.67
2021-09-02 16:00:00,289.87,1020,76,4,8.21
2021-09-02 17:00:00,289.41,1019,77,3,9.07
2021-09-02 18:00:00,290.98,1018,81,3,8.97
2021-09-02 19:00:00,289.41,1017,85,3,9.55
2021-09-02 20:00:00,290.98,1017,83,2,9.14
2021-09-02 21:00:00,288.3,1016,76,2,7.98
2021-09-02 22:00:00,290.98,1016,75,1,6.95
2021-09-02 23:00:00,289.41,1016,76,2,6.06
2021-09-03 00:00:00,291.53,1016,73,1,7.29
2021-09-03 00:00:00,291.53,1016,73,1,7.29
2021-09-03 01:00:00,289.41,1015,73,46,7.5
2021-09-03 02:00:00,292.09,1015,74,28,7.43
2021-09-03 03:00:00,290.46,1014,75,51,7.15
2021-09-03 04:00:00,289.87,1014,76,43,6.21
2021-09-03 05:00:00,290.05,1014,77,40,5.23
2021-09-03 06:00:00,288.76,1015,77,33,5.85
2021-09-03 07:00:00,286.29,1016,75,0,5.31
2021-09-03 08:00:00,291.29,1017,76,0,5.41
2021-09-03 09:00:00,292.29,1017,75,0,5.45
2021-09-03 10:00:00,292.3,1017,72,0,5.04
2021-09-03 11:00:00,293.29,1017,71,1,3.46
2021-09-03 12:00:00,292.64,1018,69,3,4.27
2021-09-03 13:00:00,293.29,1017,66,0,3.98
2021-09-03 14:00:00,293.2,1017,67,0,5.14
2021-09-03 15:00:00,290.03,1017,68,0,5.43
2021-09-03 16:00:00,293.2,1017,71,0,5.78
2021-09-03 17:00:00,291.63,1017,71,0,6.33
2021-09-03 18:00:00,292.09,1018,71,1,5.16
2021-09-03 19:00:00,289.78,1018,65,5,7.59
2021-09-03 20:00:00,289.31,1018,63,6,7.21
2021-09-03 21:00:00,289.54,1019,62,8,6.6
2021-09-03 22:00:00,288.76,1019,61,17,6.08
2021-09-03 23:00:00,284.41,1019,58,25,5.15
2021-09-04 00:00:00,288.2,1019,57,34,5.46
2021-09-04 00:00:00,288.2,1019,57,34,5.46
2021-09-04 01:00:00,284.41,1019,57,47,5.51
2021-09-04 02:00:00,287.64,1019,57,62,5.63
2021-09-04 03:00:00,284.41,1020,57,74,5.87
2021-09-04 04:00:00,287.09,1020,57,81,5.91
2021-09-04 05:00:00,284.41,1020,58,84,6.17
2021-09-04 06:00:00,286.53,1021,60,87,6.63
2021-09-04 07:00:00,286.08,1021,58,100,5.88
2021-09-04 08:00:00,286.53,1022,56,100,5.52
2021-09-04 09:00:00,287.74,1022,57,100,5.32
2021-09-04 10:00:00,288.76,1023,57,100,4.78
2021-09-04 11:00:00,291.08,1023,55,99,3.82
2021-09-04 12:00:00,290.98,1023,53,95,3.3
2021-09-04 13:00:00,288.33,1023,52,65,3.27
2021-09-04 14:00:00,291.53,1023,50,36,2.57
2021-09-04 15:00:00,288.47,1023,51,28,2.63
2021-09-04 16:00:00,291.53,1023,53,26,2.95
2021-09-04 17:00:00,289.97,1023,55,26,2.94
2021-09-04 18:00:00,290.42,1023,56,38,2.74
2021-09-04 19:00:00,288.26,1024,57,33,2.7
2021-09-04 20:00:00,288.2,1024,58,65,2.82
2021-09-04 21:00:00,288.55,1024,58,77,3.09
2021-09-04 22:00:00,287.64,1024,58,83,3.58
2021-09-04 23:00:00,283.86,1024,59,86,4.1
2021-09-05 00:00:00,287.09,1024,59,71,4.34
2021-09-05 00:00:00,287.09,1024,59,71,4.34
2021-09-05 01:00:00,283.86,1024,60,15,3.98
2021-09-05 02:00:00,287.09,1025,60,11,3.56
2021-09-05 03:00:00,288.43,1025,60,9,3.72
2021-09-05 04:00:00,286.53,1025,61,10,3.52
2021-09-05 05:00:00,287.77,1025,64,11,3.19
2021-09-05 06:00:00,285.98,1025,66,13,3.17
2021-09-05 07:00:00,287.19,1025,66,22,3.64
2021-09-05 08:00:00,288.76,1025,63,27,3.71
2021-09-05 09:00:00,290.52,1026,60,42,3.51
2021-09-05 10:00:00,290.42,1026,59,55,2.98
2021-09-05 11:00:00,291.08,1026,63,59,2.55
2021-09-05 12:00:00,291.53,1026,68,46,2.78
2021-09-05 13:00:00,291.63,1026,69,21,3
2021-09-05 14:00:00,291.53,1026,67,21,2.98
2021-09-05 15:00:00,291.63,1025,66,29,2.46
2021-09-05 16:00:00,290.98,1025,66,29,2.53
